energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
19.600000,-3312,"Xi_bar",0.421000,0.030414,0.391982
19.600000,-3122,"Lambda_bar",1.858000,0.099408,1.934246
19.600000,-2212,"pbar",2.970138,0.544780,2.803010
19.600000,-321,"K-",18.826600,1.893102,20.848704
19.600000,-211,"pi-",165.789000,18.252782,139.927236
19.600000,211,"pi+",161.395000,17.914797,140.022673
19.600000,321,"K+",29.558100,2.974592,30.939527
19.600000,2212,"p",26.183880,4.471377,30.964459
19.600000,3122,"Lambda",12.580000,0.461736,12.676956
19.600000,3312,"Xi",1.620000,0.101980,1.548143
